location,latitud,longitud
Usaquén,4.7465545,-74.0472199
Usaquén,4.744896,-74.0474961
Usaquén,4.742683,-74.0478682
Usaquén,4.7424138,-74.0479224
Usaquén,4.7415649,-74.0480768
Usaquén,4.7412406,-74.0481347
Usaquén,4.7404219,-74.0482705
Usaquén,4.7400805,-74.0483085
Usaquén,4.7356786,-74.0490248
Usaquén,4.7346687,-74.049225
Usaquén,4.733774,-74.0493653
Usaquén,4.7331736,-74.0494473
Usaquén,4.7327808,-74.0495106
Usaquén,4.7323367,-74.0496042
Usaquén,4.7315932,-74.0497126
Usaquén,4.7300819,-74.0499848
Usaquén,4.7270714,-74.0504991
Usaquén,4.7263649,-74.0506214
Usaquén,4.7253763,-74.0507954
Usaquén,4.7238958,-74.0509901
Usaquén,4.7232552,-74.0510655
Usaquén,4.7219675,-74.051332
Usaquén,4.7206656,-74.0515513
Usaquén,4.7186191,-74.0518981
Usaquén,4.7181369,-74.0519707
Usaquén,4.7152123,-74.0524752
Usaquén,4.713943,-74.0526911
Usaquén,4.7135072,-74.0527533
Usaquén,4.7111198,-74.0531148
Usaquén,4.7067502,-74.0538736
Usaquén,4.7050338,-74.0541829
Usaquén,4.6990333,-74.0551504
Usaquén,4.6985837,-74.0552261
Usaquén,4.6975202,-74.0554053
Usaquén,4.6946512,-74.0559176
Usaquén,4.6936861,-74.0560591
Usaquén,4.6935709,-74.0560805
Usaquén,4.6923307,-74.0563146
Usaquén,4.6913322,-74.0564823
Usaquén,4.6907924,-74.0565543
Usaquén,4.6892739,-74.0567844
Usaquén,4.6874164,-74.0571102
Usaquén,4.6869486,-74.0571685
Santa Fe,4.5918942,-74.0889975
Santa Fe,4.5918191,-74.0888758
Santa Fe,4.5917515,-74.0887678
Santa Fe,4.5911294,-74.0877809
Santa Fe,4.5907426,-74.0871659
Santa Fe,4.5903951,-74.0866187
Santa Fe,4.5897692,-74.0856266
Santa Fe,4.589438,-74.0850326
Santa Fe,4.5893396,-74.0848833
Santa Fe,4.5890797,-74.0844909
Santa Fe,4.5888197,-74.0841764
Santa Fe,4.5883666,-74.0834632
Santa Fe,4.5883228,-74.0834957
Santa Fe,4.5882791,-74.0835318
Santa Fe,4.5881986,-74.0836075
Santa Fe,4.5880937,-74.0835276
Santa Fe,4.5879796,-74.0834354
Santa Fe,4.5877882,-74.0832663
Santa Fe,4.5875479,-74.0830438
Santa Fe,4.5874334,-74.0829249
Santa Fe,4.5873835,-74.0828666
Santa Fe,4.5873386,-74.0828107
Santa Fe,4.5871341,-74.0825418
Santa Fe,4.586976,-74.0823341
Santa Fe,4.5867061,-74.0819642
Santa Fe,4.5866571,-74.081891
Santa Fe,4.5866181,-74.0818282
Santa Fe,4.5865913,-74.0817762
Santa Fe,4.5865513,-74.081693
Santa Fe,4.5865212,-74.0816369
Santa Fe,4.586491,-74.0815931
Santa Fe,4.5864418,-74.0815337
Santa Fe,4.5862943,-74.0813572
Santa Fe,4.5860849,-74.0811247
Santa Fe,4.5860415,-74.0810892
Santa Fe,4.5859981,-74.0810644
Santa Fe,4.5859615,-74.0810478
Santa Fe,4.5859268,-74.0810317
Santa Fe,4.5858918,-74.0810101
Santa Fe,4.58515,-74.08049
Santa Fe,4.585072,-74.080436
Santa Fe,4.584992,-74.080387
Santa Fe,4.584909,-74.080342
Santa Fe,4.5848293,-74.0803073
Santa Fe,4.584746,-74.0802765
Santa Fe,4.5846763,-74.0802491
Santa Fe,4.5846026,-74.0802178
Santa Fe,4.5845001,-74.0801678
Santa Fe,4.5844006,-74.0801132
Santa Fe,4.584262,-74.0800347
Santa Fe,4.5840479,-74.0799043
Santa Fe,4.583613,-74.079617
Santa Fe,4.5831753,-74.0793336
Santa Fe,4.5828992,-74.0791537
Santa Fe,4.5827788,-74.0790786
Santa Fe,4.5827109,-74.079038
Santa Fe,4.5826501,-74.0790064
Santa Fe,4.5825748,-74.0789685
Santa Fe,4.582516,-74.0789428
Santa Fe,4.5819961,-74.0789492
Santa Fe,4.5807402,-74.0778809
Santa Fe,4.5808464,-74.077672
Santa Fe,4.5805894,-74.0777526
Santa Fe,4.5802907,-74.0777492
Santa Fe,4.5793493,-74.0771822
Santa Fe,4.5785388,-74.0754981
Santa Fe,4.5778719,-74.0753265
Santa Fe,4.5772905,-74.0750855
Santa Fe,4.5767519,-74.0745333
Santa Fe,4.5768692,-74.0740146
Santa Fe,4.5777276,-74.0730357
Santa Fe,4.5768629,-74.0729319
Santa Fe,4.5779613,-74.0722653
Santa Fe,4.5780278,-74.0718386
Santa Fe,4.5770658,-74.0713672
Santa Fe,4.5779541,-74.0704129
Santa Fe,4.5772218,-74.0700592
Santa Fe,4.5777194,-74.0697805
Santa Fe,4.5786076,-74.0688048
Santa Fe,4.5809654,-74.0683893
Santa Fe,4.5835781,-74.0648413
Santa Fe,4.5797865,-74.0598869
Santa Fe,4.5740828,-74.0456743
Santa Fe,4.5718848,-74.0401972
